"filename", "language", "HTML", "JSON", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"c:\Users\User\Desktop\My_Final_year_project\The Billfold Bananza\code\Add_Item.html", "HTML", 148, 0, 0, 0, 0, 9, 31, 188
"c:\Users\User\Desktop\My_Final_year_project\The Billfold Bananza\code\Info.html", "HTML", 114, 0, 0, 0, 0, 14, 27, 155
"c:\Users\User\Desktop\My_Final_year_project\The Billfold Bananza\code\Login_Page.html", "HTML", 71, 0, 0, 0, 0, 7, 3, 81
"c:\Users\User\Desktop\My_Final_year_project\The Billfold Bananza\code\Menu_Page.html", "HTML", 162, 0, 0, 0, 0, 21, 44, 227
"c:\Users\User\Desktop\My_Final_year_project\The Billfold Bananza\code\Order_Summary.html", "HTML", 312, 0, 0, 0, 0, 15, 77, 404
"c:\Users\User\Desktop\My_Final_year_project\The Billfold Bananza\code\Profile.html", "HTML", 88, 0, 0, 0, 0, 14, 21, 123
"c:\Users\User\Desktop\My_Final_year_project\The Billfold Bananza\code\Sales_Summary.html", "HTML", 133, 0, 0, 0, 0, 14, 28, 175
"c:\Users\User\Desktop\My_Final_year_project\The Billfold Bananza\code\Update_Item.html", "HTML", 250, 0, 0, 0, 0, 15, 35, 300
"c:\Users\User\Desktop\My_Final_year_project\The Billfold Bananza\code\css code\additem.css", "CSS", 0, 0, 0, 0, 254, 5, 64, 323
"c:\Users\User\Desktop\My_Final_year_project\The Billfold Bananza\code\css code\header.css", "CSS", 0, 0, 0, 0, 156, 9, 42, 207
"c:\Users\User\Desktop\My_Final_year_project\The Billfold Bananza\code\css code\info.css", "CSS", 0, 0, 0, 0, 76, 1, 18, 95
"c:\Users\User\Desktop\My_Final_year_project\The Billfold Bananza\code\css code\loginpage.css", "CSS", 0, 0, 0, 0, 204, 87, 40, 331
"c:\Users\User\Desktop\My_Final_year_project\The Billfold Bananza\code\css code\menupage.css", "CSS", 0, 0, 0, 0, 533, 86, 152, 771
"c:\Users\User\Desktop\My_Final_year_project\The Billfold Bananza\code\css code\navbar.css", "CSS", 0, 0, 0, 0, 232, 24, 8, 264
"c:\Users\User\Desktop\My_Final_year_project\The Billfold Bananza\code\css code\ordersummary.css", "CSS", 0, 0, 0, 0, 216, 1, 58, 275
"c:\Users\User\Desktop\My_Final_year_project\The Billfold Bananza\code\css code\profile.css", "CSS", 0, 0, 0, 0, 11, 1, 2, 14
"c:\Users\User\Desktop\My_Final_year_project\The Billfold Bananza\code\css code\salessummary.css", "CSS", 0, 0, 0, 0, 151, 1, 34, 186
"c:\Users\User\Desktop\My_Final_year_project\The Billfold Bananza\code\css code\updateitem.css", "CSS", 0, 0, 0, 0, 219, 4, 60, 283
"c:\Users\User\Desktop\My_Final_year_project\The Billfold Bananza\code\images\call_logo.svg", "XML", 0, 0, 0, 6, 0, 1, 5, 12
"c:\Users\User\Desktop\My_Final_year_project\The Billfold Bananza\code\images\more_logo.svg", "XML", 0, 0, 0, 6, 0, 1, 5, 12
"c:\Users\User\Desktop\My_Final_year_project\The Billfold Bananza\code\images\notification_logo.svg", "XML", 0, 0, 0, 6, 0, 1, 5, 12
"c:\Users\User\Desktop\My_Final_year_project\The Billfold Bananza\code\images\search_logo.svg", "XML", 0, 0, 0, 6, 0, 1, 5, 12
"c:\Users\User\Desktop\My_Final_year_project\The Billfold Bananza\code\js code\additem.js", "JavaScript", 0, 0, 37, 0, 0, 7, 9, 53
"c:\Users\User\Desktop\My_Final_year_project\The Billfold Bananza\code\js code\info.js", "JavaScript", 0, 0, 14, 0, 0, 2, 3, 19
"c:\Users\User\Desktop\My_Final_year_project\The Billfold Bananza\code\js code\loginpage.js", "JavaScript", 0, 0, 9, 0, 0, 1, 3, 13
"c:\Users\User\Desktop\My_Final_year_project\The Billfold Bananza\code\js code\menupage.js", "JavaScript", 0, 0, 311, 0, 0, 36, 113, 460
"c:\Users\User\Desktop\My_Final_year_project\The Billfold Bananza\code\js code\navbar.js", "JavaScript", 0, 0, 14, 0, 0, 2, 3, 19
"c:\Users\User\Desktop\My_Final_year_project\The Billfold Bananza\code\js code\ordersummary.js", "JavaScript", 0, 0, 14, 0, 0, 2, 5, 21
"c:\Users\User\Desktop\My_Final_year_project\The Billfold Bananza\code\js code\profile.js", "JavaScript", 0, 0, 14, 0, 0, 2, 3, 19
"c:\Users\User\Desktop\My_Final_year_project\The Billfold Bananza\code\js code\salessummary.js", "JavaScript", 0, 0, 14, 0, 0, 2, 3, 19
"c:\Users\User\Desktop\My_Final_year_project\The Billfold Bananza\code\js code\updateitem.js", "JavaScript", 0, 0, 14, 0, 0, 2, 3, 19
"c:\Users\User\Desktop\My_Final_year_project\The Billfold Bananza\code\menu_items_details.json", "JSON", 0, 50, 0, 0, 0, 0, 1, 51
"c:\Users\User\Desktop\My_Final_year_project\The Billfold Bananza\code\products.json", "JSON", 0, 50, 0, 0, 0, 0, 1, 51
"Total", "-", 1278, 100, 441, 24, 2052, 388, 911, 5194